SDFB Relationship ID,Person 1 ID,Person 2 ID,Original Confidence,Maximum Confidence,Start Year Type,Start Day,Start Month,Start Year,End Year Type,End Month,End Day,End Year
100140001,10008159,10012960,55,55,AF/IN,,,1693,BF/IN,,,1754
100140003,10008159,10013024,50,50,AF/IN,,,1689,BF/IN,,,1748
100140004,10008159,10013109,75,75,AF/IN,,,1673,BF/IN,,,1728
100140006,10008160,10011671,49,49,AF/IN,,,1630,BF/IN,,,1653
100140008,10008161,10009530,19,19,AF/IN,,,1627,BF/IN,,,1670
100140009,10008161,10009531,32,32,AF/IN,,,1644,BF/IN,,,1713
100140011,10008161,10010145,25,25,AF/IN,,,1681,BF/IN,,,1713
100140014,10008161,10010491,13,13,AF/IN,,,1664,BF/IN,,,1713
100140015,10008161,10011159,25,25,AF/IN,,,1627,BF/IN,,,1695
100140017,10008161,10011683,19,19,AF/IN,,,1633,BF/IN,,,1701
100140019,10008161,10012312,50,50,AF/IN,,,1627,BF/IN,,,1682
100140020,10008161,10013308,23,23,AF/IN,,,1650,BF/IN,,,1702
100140022,10008162,10008738,74,74,AF/IN,,,1661,BF/IN,,,1699
100140023,10008162,10008812,13,13,AF/IN,,,1642,BF/IN,,,1699
100140025,10008162,10008853,15,15,AF/IN,,,1628,BF/IN,,,1685
100140026,10008162,10009069,15,15,AF/IN,,,1649,BF/IN,,,1699
100140028,10008162,10009206,88,88,AF/IN,,,1628,BF/IN,,,1683
100140030,10008162,10009338,52,52,AF/IN,,,1632,BF/IN,,,1699
100140031,10008162,10009488,30,30,AF/IN,,,1674,BF/IN,,,1699
100140034,10008162,10010979,49,49,AF/IN,,,1628,BF/IN,,,1677
100140036,10008162,10011035,53,53,AF/IN,,,1639,BF/IN,,,1699
100140040,10008162,10011820,21,21,AF/IN,,,1680,BF/IN,,,1699
100140041,10008162,10011887,51,51,AF/IN,,,1648,BF/IN,,,1699
100140043,10008162,10012299,40,40,AF/IN,,,1641,BF/IN,,,1699
100140044,10008162,10012708,56,56,AF/IN,,,1649,BF/IN,,,1699
100140046,10008162,10012910,40,40,AF/IN,,,1643,BF/IN,,,1699
100140048,10008164,10009069,34,34,AF/IN,,,1649,BF/IN,,,1683
100140049,10008164,10010744,43,43,AF/IN,,,1624,BF/IN,,,1681
100140051,10008164,10011228,49,49,AF/IN,,,1624,BF/IN,,,1675
100140052,10008164,10011670,35,35,AF/IN,,,1624,BF/IN,,,1649
100140054,10008164,10011885,15,15,AF/IN,,,1624,BF/IN,,,1666
100140055,10008165,10008769,68,68,AF/IN,,,1695,BF/IN,,,1745
100140057,10008166,10009728,30,30,AF/IN,,,1686,BF/IN,,,1725
100140060,10008166,10010718,16,16,AF/IN,,,1686,BF/IN,,,1712
100140062,10008166,10011735,37,37,AF/IN,,,1686,BF/IN,,,1739
100140063,10008167,10010258,20,20,AF/IN,,,1590,BF/IN,,,1619
100140065,10008167,10010872,37,37,AF/IN,,,1590,BF/IN,,,1649
100140066,10008167,10011670,17,17,AF/IN,,,1600,BF/IN,,,1649
100140068,10008167,10012694,12,12,AF/IN,,,1613,BF/IN,,,1649
100140069,10008167,10012917,34,34,AF/IN,,,1590,BF/IN,,,1649
100140073,10008167,10012979,11,11,AF/IN,,,1601,BF/IN,,,1649
100140074,10008167,10012984,45,45,AF/IN,,,1590,BF/IN,,,1646
100140076,10008168,10010601,47,47,AF/IN,,,1643,BF/IN,,,1680
100140079,10008168,10012634,22,22,AF/IN,,,1637,BF/IN,,,1638
100140080,10008168,10012635,24,24,AF/IN,,,1637,BF/IN,,,1680
100140082,10008169,10008309,33,33,AF/IN,,,1608,BF/IN,,,1638
